Time_s   F0_Hz
0.030009   --undefined--
0.042509   --undefined--
0.055009   --undefined--
0.067509   --undefined--
0.080009   --undefined--
0.092509   --undefined--
0.105009   --undefined--
0.117509   --undefined--
0.130009   --undefined--
0.142509   --undefined--
0.155009   --undefined--
0.167509   --undefined--
0.180009   --undefined--
0.192509   --undefined--
0.205009   --undefined--
0.217509   --undefined--
0.230009   --undefined--
0.242509   --undefined--
0.255009   --undefined--
0.267509   --undefined--
0.280009   --undefined--
0.292509   --undefined--
0.305009   --undefined--
0.317509   --undefined--
0.330009   --undefined--
0.342509   --undefined--
0.355009   --undefined--
0.367509   --undefined--
0.380009   --undefined--
0.392509   --undefined--
0.405009   --undefined--
0.417509   --undefined--
0.430009   --undefined--
0.442509   --undefined--
0.455009   --undefined--
0.467509   --undefined--
0.480009   --undefined--
0.492509   --undefined--
0.505009   --undefined--
0.517509   170.695361
0.530009   164.812488
0.542509   161.947228
0.555009   161.073982
0.567509   161.513530
0.580009   160.655132
0.592509   158.629697
0.605009   155.907641
0.617509   153.936824
0.630009   152.377640
0.642509   150.415928
0.655009   148.419769
0.667509   146.221964
0.680009   143.582465
0.692509   140.972940
0.705009   138.866298
0.717509   137.146634
0.730009   135.469433
0.742509   133.510825
0.755009   131.554269
0.767509   128.811326
0.780009   126.682827
0.792509   125.372035
0.805009   124.014849
0.817509   122.542908
0.830009   121.032059
0.842509   120.672846
0.855009   120.359647
0.867509   119.049163
0.880009   117.362968
0.892509   116.189334
0.905009   114.785270
0.917509   112.988618
0.930009   111.835648
0.942509   110.357267
0.955009   109.489546
0.967509   106.730620
0.980009   105.263179
0.992509   103.693677
1.005009   102.597230
1.017509   101.906502
1.030009   100.804281
1.042509   98.763418
1.055009   97.230261
1.067509   96.658756
1.080009   96.616907
1.092509   96.051908
1.105009   94.712662
1.117509   94.042999
1.130009   93.166232
1.142509   93.560290
1.155009   94.563827
1.167509   95.268143
1.180009   94.366676
1.192509   94.971283
1.205009   93.642245
1.217509   93.856231
1.230009   --undefined--
1.242509   --undefined--
1.255009   --undefined--
1.267509   --undefined--
1.280009   --undefined--
1.292509   --undefined--
1.305009   --undefined--
1.317509   --undefined--
1.330009   --undefined--
1.342509   --undefined--
1.355009   --undefined--
1.367509   --undefined--
1.380009   --undefined--
1.392509   --undefined--
1.405009   --undefined--
1.417509   --undefined--
1.430009   --undefined--
1.442509   --undefined--
1.455009   --undefined--
1.467509   --undefined--
1.480009   --undefined--
1.492509   --undefined--
1.505009   --undefined--
1.517509   --undefined--
1.530009   --undefined--
1.542509   --undefined--
1.555009   --undefined--
1.567509   --undefined--
1.580009   --undefined--
1.592509   --undefined--
1.605009   --undefined--
1.617509   --undefined--
1.630009   --undefined--
1.642509   --undefined--
1.655009   --undefined--
1.667509   --undefined--
1.680009   --undefined--
1.692509   --undefined--
1.705009   --undefined--
1.717509   --undefined--
1.730009   --undefined--
1.742509   --undefined--
1.755009   --undefined--
1.767509   --undefined--
1.780009   --undefined--
1.792509   --undefined--
1.805009   --undefined--
1.817509   --undefined--
1.830009   --undefined--
1.842509   --undefined--
1.855009   --undefined--
1.867509   --undefined--
1.880009   --undefined--
1.892509   --undefined--
1.905009   --undefined--
1.917509   --undefined--
1.930009   --undefined--
1.942509   --undefined--
1.955009   --undefined--
1.967509   --undefined--
1.980009   --undefined--
1.992509   --undefined--
2.005009   --undefined--
2.017509   --undefined--
2.030009   --undefined--
2.042509   --undefined--
2.055009   --undefined--
2.067509   --undefined--
2.080009   --undefined--
2.092509   --undefined--
2.105009   --undefined--
2.117509   --undefined--
2.130009   --undefined--
2.142509   --undefined--
